iter	RMSE
0	39.0625457
1	39.06202561
2	39.06147443
3	39.06091752
4	39.06046922
5	39.05999191
6	39.05955133
7	39.05907963
8	39.05868613
9	39.05828268
10	39.05787484
11	39.05742053
12	39.05696913
13	39.05661237
14	39.05610032
15	39.05571729
16	39.05525621
17	39.05489807
18	39.05446523
19	39.05408608
20	39.05367463
21	39.05331616
22	39.05289006
23	39.0525547
24	39.05210796
25	39.05175731
26	39.05137713
27	39.05099319
28	39.05064989
29	39.05031199
30	39.04995157
31	39.04957925
32	39.04920185
33	39.04889041
34	39.048513
35	39.04813087
36	39.04781545
37	39.04741721
38	39.04706733
39	39.04668721
40	39.046376
41	39.0460152
42	39.04574138
43	39.04551117
44	39.04524836
45	39.04489126
46	39.04454206
47	39.04425636
48	39.04397996
49	39.04363071
50	39.04334773
51	39.04317951
52	39.04287978
53	39.04256991
54	39.04232406
55	39.04206096
56	39.04181906
57	39.04158553
58	39.04128478
59	39.04102454
60	39.04072888
61	39.04045784
62	39.04019048
63	39.03993505
64	39.03970093
65	39.03948278
66	39.03922694
67	39.03902569
68	39.03873345
69	39.03849492
70	39.03824802
71	39.03809127
72	39.03787767
73	39.03763697
74	39.03736116
75	39.03711757
76	39.03688433
77	39.03668461
78	39.03651043
79	39.0362921
80	39.03606558
81	39.03584838
82	39.03573148
83	39.03549387
84	39.03528309
85	39.03510273
86	39.03492728
87	39.03473949
88	39.03449976
89	39.03430213
90	39.03411296
91	39.03388753
92	39.03364393
93	39.03345963
94	39.03324184
95	39.0330663
96	39.03288384
97	39.03268103
98	39.03250906
99	39.03230073
100	39.03211202
101	39.03190376
102	39.03174996
103	39.03158573
104	39.03138059
105	39.0311673
106	39.03098076
107	39.03077496
108	39.03058439
109	39.03038704
110	39.03021356
111	39.03002199
112	39.02984653
113	39.02964648
114	39.0294535
115	39.02925297
116	39.02912434
117	39.02896385
118	39.02879129
119	39.02864039
120	39.02848694
121	39.02830884
122	39.02812927
123	39.0279833
124	39.02783523
125	39.02766239
126	39.02754369
127	39.02739111
128	39.02721219
129	39.02700462
130	39.0268511
131	39.02666691
132	39.0265028
133	39.02631635
134	39.02616099
135	39.02597061
136	39.02582731
137	39.02569364
138	39.02552154
139	39.02539325
140	39.02523303
141	39.02502852
142	39.02487621
143	39.02474403
144	39.02458726
145	39.0244369
146	39.0242917
147	39.02411577
148	39.02395395
149	39.02379468
150	39.02362807
151	39.02347003
152	39.0233389
153	39.02317676
154	39.02300795
155	39.02284936
156	39.0227175
157	39.0225934
158	39.02243459
159	39.02225146
160	39.02211977
161	39.0219425
162	39.02179258
163	39.02166137
164	39.0215199
165	39.02139702
166	39.02124588
167	39.02112505
168	39.02095674
169	39.02083754
170	39.02067482
171	39.02051994
172	39.02036733
173	39.02023521
174	39.02008762
175	39.01996145
176	39.0198235
177	39.01968198
178	39.01952116
179	39.01938775
180	39.01924543
181	39.01909255
182	39.01893769
183	39.01879466
184	39.01865946
185	39.01853628
186	39.018401
187	39.01824084
188	39.01811339
189	39.01793755
190	39.01777247
191	39.01762227
192	39.01746429
193	39.01730172
194	39.01715931
195	39.01701651
196	39.01686822
197	39.01674842
198	39.01664339
199	39.0165134
200	39.01636707
201	39.01623702
202	39.01609186
203	39.01596102
204	39.01585692
205	39.01575452
206	39.01564668
207	39.01551644
208	39.01541268
209	39.01529566
210	39.01514791
211	39.01501051
212	39.01485224
213	39.01471744
214	39.01459703
215	39.01449669
216	39.01437763
217	39.01425958
218	39.01413331
219	39.01398298
220	39.01384861
221	39.01372481
222	39.01359963
223	39.01349322
224	39.01338501
225	39.01325736
226	39.01312557
227	39.01300521
228	39.01285832
229	39.0127079
230	39.01258667
231	39.01246261
232	39.0123301
233	39.01219767
234	39.01207017
235	39.01192557
236	39.01181612
237	39.01170053
238	39.01156877
239	39.01147257
240	39.011341
241	39.01122306
242	39.01110032
243	39.01097319
244	39.01084804
245	39.01069814
246	39.0105503
247	39.010426
248	39.01032233
249	39.01021533
250	39.01010845
251	39.00996176
252	39.00985747
253	39.00972037
254	39.00960899
255	39.00950455
256	39.00937411
257	39.00926146
258	39.00910327
259	39.00895461
260	39.00887015
261	39.00877239
262	39.00867519
263	39.00852394
264	39.00840832
265	39.00830642
266	39.00818859
267	39.00806838
268	39.00799129
269	39.00785937
270	39.00776114
271	39.00765289
272	39.00750727
273	39.00738264
274	39.00726292
275	39.00710539
276	39.00698583
277	39.00686456
278	39.00673264
279	39.00663905
280	39.00647415
281	39.00636182
282	39.00626481
283	39.00615821
284	39.00600186
285	39.00589603
286	39.00577652
287	39.00566563
288	39.00552923
289	39.00542272
290	39.00526757
291	39.00514344
292	39.00501938
293	39.00494948
294	39.00477957
295	39.00465566
296	39.00452853
297	39.00441761
298	39.00429911
299	39.00419753
300	39.0040613
301	39.00395268
302	39.00382874
303	39.00372653
304	39.00360916
305	39.00350809
306	39.00339545
307	39.00323681
308	39.00313195
309	39.00300223
310	39.00289536
311	39.00277845
312	39.00265221
313	39.00251843
314	39.00241983
315	39.00231591
316	39.00222442
317	39.00209946
318	39.00197631
319	39.00186289
320	39.00174513
321	39.00161518
322	39.00149041
323	39.00141885
324	39.00131194
325	39.00122993
326	39.00111703
327	39.00094501
328	39.00081054
329	39.00069428
330	39.00057171
331	39.00045646
332	39.00029777
333	39.00016072
334	39.00003964
335	38.99992378
336	38.99984351
337	38.99974347
338	38.99964754
339	38.99956131
340	38.9994562
341	38.99930197
342	38.9991824
343	38.99910271
344	38.99899043
345	38.99886894
346	38.99877762
347	38.99870194
348	38.99860155
349	38.99847722
350	38.99834114
351	38.99823072
352	38.99810567
353	38.99799692
354	38.99789515
355	38.99778132
356	38.99766553
357	38.99757011
358	38.99746096
359	38.99738629
360	38.99728241
361	38.99716167
362	38.99704804
363	38.99690953
364	38.9968038
365	38.99668434
366	38.99666931
367	38.99655467
368	38.99646231
369	38.9963463
370	38.99626774
371	38.99618723
372	38.99609886
373	38.99600023
374	38.99585584
375	38.99575345
376	38.99561337
377	38.99552181
378	38.99543333
379	38.99530694
380	38.99519751
381	38.99506772
382	38.99496232
383	38.99484746
384	38.99474749
385	38.99460779
386	38.99450848
387	38.99436883
388	38.99425681
389	38.99414321
390	38.99400133
391	38.99387569
392	38.99376997
393	38.99367247
394	38.99355651
395	38.99344804
396	38.99334528
397	38.99326676
398	38.99319815
399	38.99310434
400	38.99298882
401	38.99288759
402	38.9927693
403	38.99267311
404	38.99256806
405	38.99249345
406	38.99238162
407	38.99225917
408	38.99213808
409	38.99201466
410	38.9919234
411	38.9918259
412	38.99174212
413	38.9916802
414	38.9915608
415	38.99145739
416	38.99134659
417	38.9912462
418	38.9911033
419	38.99102765
420	38.99094396
421	38.99083998
422	38.99072483
423	38.99063904
424	38.99053475
425	38.99040427
426	38.99029902
427	38.99021846
428	38.99014208
429	38.9900415
430	38.98991796
431	38.98981456
432	38.98969434
433	38.98962101
434	38.98949113
435	38.9894139
436	38.98930963
437	38.98917693
438	38.98907178
439	38.98896314
440	38.98889017
441	38.98878793
442	38.98865897
443	38.98857829
444	38.98851296
445	38.98837714
446	38.98826527
447	38.98815365
448	38.98803141
449	38.98794253
450	38.98788381
451	38.98778111
452	38.98769207
453	38.98758094
454	38.98746341
455	38.98736712
456	38.98727342
457	38.98718975
458	38.98709659
459	38.98698768
460	38.98689735
461	38.9867952
462	38.98662272
463	38.98653491
464	38.98645626
465	38.98635249
466	38.98623387
467	38.98614258
468	38.98605528
469	38.98599768
470	38.98589374
471	38.98587893
472	38.9857672
473	38.98566748
474	38.98556647
475	38.9855039
476	38.98539556
477	38.98530242
478	38.98521261
479	38.98511649
480	38.98502065
481	38.98491797
482	38.98481092
483	38.98471027
484	38.98463845
485	38.9845465
486	38.98443875
487	38.98436632
488	38.9842811
489	38.98419292
490	38.98403485
491	38.98395918
492	38.98382814
493	38.98373514
494	38.9836665
495	38.98358792
496	38.98347536
497	38.98337629
498	38.98329634
499	38.98320202
500	38.98310622
501	38.98299245
502	38.98291811
503	38.98281
504	38.98270618
505	38.98254238
506	38.98245969
507	38.98233281
508	38.98225286
509	38.98217171
510	38.98204048
511	38.98197697
512	38.98192275
513	38.98181316
514	38.98172956
515	38.98164669
516	38.98153852
517	38.9814381
518	38.98132657
519	38.98124859
520	38.98120565
521	38.98110325
522	38.98098247
523	38.98089497
524	38.980799
525	38.98071447
526	38.98064862
527	38.98051721
528	38.98042867
529	38.9802839
530	38.98018291
531	38.98009617
532	38.98001438
533	38.97992774
534	38.97983847
535	38.97974454
536	38.97966351
537	38.97954234
538	38.97945835
539	38.97934746
540	38.97923786
541	38.97915119
542	38.97902729
543	38.97890586
544	38.97880061
545	38.97870405
546	38.97858427
547	38.97851969
548	38.97844101
549	38.978325
550	38.97825162
551	38.97820874
552	38.97810551
553	38.9780069
554	38.97791142
555	38.97780066
556	38.97773418
557	38.97766231
558	38.97759357
559	38.97749032
560	38.97742313
561	38.97727276
562	38.97719027
563	38.97708048
564	38.97692635
565	38.97683503
566	38.976749
567	38.97665728
568	38.97649094
569	38.97637993
570	38.97631327
571	38.9762245
572	38.97615145
573	38.97603485
574	38.97594884
575	38.97584503
576	38.97576882
577	38.97564
578	38.97555799
579	38.97543149
580	38.97534344
581	38.97526562
582	38.97515144
583	38.97505683
584	38.97495165
585	38.97484137
586	38.97476884
587	38.97468433
588	38.97457183
589	38.97446275
590	38.97437783
591	38.97428431
592	38.97417312
593	38.97407359
594	38.97396453
595	38.9738727
596	38.97375601
597	38.97368918
598	38.97360565
599	38.97352891
600	38.97344491
601	38.97335407
602	38.97328246
603	38.97316832
604	38.97309905
605	38.97302839
606	38.97291907
607	38.9728229
608	38.97272147
609	38.97264812
610	38.97256179
611	38.97247463
612	38.97239
613	38.97229784
614	38.97222852
615	38.97214523
616	38.97205762
617	38.97197331
618	38.97184819
619	38.97178183
620	38.97169922
621	38.9716115
622	38.97150049
623	38.97141124
624	38.97133666
625	38.97125999
626	38.97118423
627	38.97113359
628	38.97106261
629	38.97097471
630	38.97086021
631	38.97076018
632	38.97070082
633	38.97064021
634	38.97053889
635	38.97045228
636	38.97035877
637	38.97027233
638	38.97015729
639	38.9700677
640	38.96996988
641	38.96985031
642	38.96977273
643	38.96971864
644	38.96963495
645	38.96955103
646	38.96942294
647	38.96933665
648	38.96923023
649	38.96909235
650	38.96901741
651	38.96890967
652	38.96884346
653	38.96870052
654	38.96857465
655	38.96851505
656	38.96841112
657	38.96832907
658	38.96825886
659	38.96818628
660	38.9681168
661	38.96800098
662	38.96792623
663	38.96782839
664	38.9677301
665	38.96765426
666	38.96752646
667	38.96740569
668	38.96729494
669	38.96723671
670	38.96714645
671	38.96705703
672	38.9669838
673	38.96691875
674	38.96681639
675	38.96672225
676	38.96666263
677	38.96658853
678	38.96652563
679	38.96642922
680	38.96633396
681	38.96621743
682	38.96616212
683	38.96608276
684	38.9659654
685	38.96586475
686	38.96578712
687	38.96566903
688	38.96559575
689	38.96559512
690	38.96552075
691	38.96544537
692	38.9653448
693	38.96525751
694	38.96517053
695	38.96507111
696	38.96499683
697	38.96489571
698	38.96481938
699	38.96472654
700	38.96463666
701	38.96453707
702	38.96447856
703	38.96441569
704	38.964298
705	38.96419638
706	38.96409674
707	38.96402749
708	38.96395755
709	38.96389958
710	38.96380304
711	38.96367686
712	38.96358359
713	38.963491
714	38.96340935
715	38.96334213
716	38.96325866
717	38.96314779
718	38.96313985
719	38.9630113
720	38.96287605
721	38.96278294
722	38.96268143
723	38.96259127
724	38.96248191
725	38.96241451
726	38.96229357
727	38.96215814
728	38.96207345
729	38.96199574
730	38.96188382
731	38.96178359
732	38.96168008
733	38.96161146
734	38.96156479
735	38.96145452
736	38.96143494
737	38.96134827
738	38.96126871
739	38.96116193
740	38.96106453
741	38.96100554
742	38.96088567
743	38.96085131
744	38.96073819
745	38.96064183
746	38.96050587
747	38.96044484
748	38.96035405
749	38.96026589
750	38.96015836
751	38.96005678
752	38.95999225
753	38.95987576
754	38.95983117
755	38.95978346
756	38.9597084
757	38.95962147
758	38.95954198
759	38.9594328
760	38.95930923
761	38.95917859
762	38.95909209
763	38.95896267
764	38.9588411
765	38.95878177
766	38.95867985
767	38.95860662
768	38.95851447
769	38.95841337
770	38.95834033
771	38.95827825
772	38.95819205
773	38.95807443
774	38.95792885
775	38.95781972
776	38.95774358
777	38.95766426
778	38.9576076
779	38.95751605
780	38.95743396
781	38.95734791
782	38.95723617
783	38.9571329
784	38.95705125
785	38.95696823
786	38.95687716
787	38.95678093
788	38.95669077
789	38.95662586
790	38.95653278
791	38.95645161
792	38.95638322
793	38.95629615
794	38.95620916
795	38.95614033
796	38.95603921
797	38.95593978
798	38.95585231
799	38.95574446
800	38.95565264
801	38.95557641
802	38.95547144
803	38.95538562
804	38.9552832
805	38.95521988
806	38.95512298
807	38.95506307
808	38.95495768
809	38.95488331
810	38.95476888
811	38.95465989
812	38.95457554
813	38.95448005
814	38.95438256
815	38.9542783
816	38.9541646
817	38.95403667
818	38.95395878
819	38.95387066
820	38.95379524
821	38.9537025
822	38.95361333
823	38.95352875
824	38.95346449
825	38.95339873
826	38.95331035
827	38.95319102
828	38.95309294
829	38.95298258
830	38.9528479
831	38.95276298
832	38.95268571
833	38.95263404
834	38.95250561
835	38.95244616
836	38.95236097
837	38.95225015
838	38.95216725
839	38.95208694
840	38.95199067
841	38.95191134
842	38.95181608
843	38.95170768
844	38.951611
845	38.95152115
846	38.95142416
847	38.95131387
848	38.95122622
849	38.95115244
850	38.95106528
851	38.95101194
852	38.95090746
853	38.95084102
854	38.95076407
855	38.95063914
856	38.95053085
857	38.9504247
858	38.95033786
859	38.95026922
860	38.95023646
861	38.95016098
862	38.95006842
863	38.9499526
864	38.94985566
865	38.94971747
866	38.94963392
867	38.94961107
868	38.94949918
869	38.94941347
870	38.94930307
871	38.94922867
872	38.9490934
873	38.94900596
874	38.94892604
875	38.94882743
876	38.94877272
877	38.94868089
878	38.94859646
879	38.94848697
880	38.94838497
881	38.94830123
882	38.94823136
883	38.9481348
884	38.94806762
885	38.94793539
886	38.94785909
887	38.94780698
888	38.94774316
889	38.94763945
890	38.94755693
891	38.94748194
892	38.94741413
893	38.9473057
894	38.94720379
895	38.9471079
896	38.94700527
897	38.94692096
898	38.94682773
899	38.94674729
900	38.94666089
901	38.9465804
902	38.94645952
903	38.94639497
904	38.94630675
905	38.9462241
906	38.94610538
907	38.94603632
908	38.94594479
909	38.9458685
910	38.94576886
911	38.94570211
912	38.94559846
913	38.94553004
914	38.94544092
915	38.94532669
916	38.94520805
917	38.94513131
918	38.94500805
919	38.94495173
920	38.94487403
921	38.94477317
922	38.94465148
923	38.94457368
924	38.94447252
